Busses were clean and drivers were true partners in making this a very positive experience. Bus gave us peace of mind!,BusG
Great communication. Great dirver,BusG
"Good service, good communication.",BusG
Great service !,BusG
Awesome! Service was great! On time and very professional. This is my second time using this bus. Would highly recommend.,BusG
"Friendly bus drivers, very cooperative and respectful even though our group was a bunch of teenagers. Busses arrived early and we had a safe ride both ways.",BusG
On time and had a great experience with the bus.,BusG
Timely and courteous!,BusG
My experience with everyone was great. The driver had a great time and that's what matters.,BusG
Great service arrived on time and great driver .,BusG
Exceptional service all around. Will use again and will recommend to others for that.,BusG
"The bus driver was friendly, courteous and punctual. Accommodated our needs even when we had a higher attendance than expected.",BusG
"Staff were really helpful when needed. The driver was also very pleasant, accommodating, and knowledgeable.",BusG
My group was pleased with the drivers and bus service.,BusG
I had a good experience dealing with bus. Bus was on time drivers were friendly.,BusG
"Great experience with bus, would recommend them to anyone!",BusG
"On time, very clean and good service all together. I highly recomand it.",BusG
We had an excellent trip. Very professional and careful driver. Comfortable vehicle.,BusG
The bus was in excellent condition.,BusG
"Our driver was amazing! He was early to pick us up, friendly and willing to slightly change our itinerary as needed. This was a WONDERFUL experience!",BusG
"Communication, timeliness and state of the bus were all very good",BusG
"Our bus driver arrived right on time, he was very flexible and accommodating for our group.",BusG
Good driving and got us to our destination on time. would definitely book again.,BusG
"The bus drivers were kind, professional and prompt. I would highly recommend",BusG
We had a great experience. Our driver was fantastic and extremely accommodating. We had a perfect experience from start to finish.,BusG
On time. Reasonable Rates.,BusG
Excellent service! Would definitely use them again without a doubt,BusG
Great service! ride with them a few times now I would recommend!,BusG
Clean bus. Great driver.,BusG
They were wonderful to work with and great service!,BusG
Excellent driver!,BusG
Driver was professional and on time ! Would use them again.,BusG
Excellent way to travel to and from events,BusG
"very good experience for me, very friendly staff all around",BusG
Great I loved being in the bus it was a school bus but it was still fun and driver was nice,BusG
"This was an amazing service. Courteous, professional drivers.",BusG
"very friendly bus drivers. they were on time, respectful and nice to everybody.",BusG
Everything went precisely according to schedule and expectations. Will use this service every time I need to visit.,BusG
They were on time and the bus was more then comfortable. Would recommend.,BusG
"Great service, friendly driver, on time",BusG
Drivers were polite and well trained.,BusG
"The bus driver was excellent, the bus was clean.",BusG
The buses were very clean and the drivers were both friendly and professional. We will definitely be using them again.,BusG
I had a great experience with this bus and would highly recommend them to anyone.,BusG
Super friendly drivers. One time arrivals and departures.,BusG
It also provides good and healthy food to us.,FoodG
A decent and large variety of food is available in the college canteen.,FoodG
The food you get in the canteen is also delicious.,FoodG
College canteen serve you delicious food.,FoodG
Hostels food is ok not so bad!,FoodG
Food are great.,FoodG
Food is good.,FoodG
Hostels are providing good foods,FoodG
The food quality is superb.,FoodG
Tasty food from canteen & food court.,FoodG
The hostels serve the best quality food.,FoodG
Good and hygienic canteen with good food.,FoodG
The quality of food available in the canteen,FoodG
The canteen food is also very tasty.,FoodG
We also have a big canteen with excellent quality food at cheaper rate.,FoodG
Food are given in college are very hygiene and good quality.,FoodG
Great food at a great price!,FoodG
Food was very good and reasonably priced.,FoodG
",the food was wonderful ,fresh ,properly prepared and a great value for the price.",FoodG
the food was absolutely wonderful.,FoodG
The food was exceptionally good as well.,FoodG
The food was tasty.,FoodG
The food is good and the service is always excellent.,FoodG
The food is fresh and made from scratch.,FoodG
The food and quantity were both excellent.,FoodG
food was excellent can't wait to come back again.,FoodG
Terrific food,FoodG
The service and food were both spot on!,FoodG
the food was exquisite,FoodG
The food selection and presentation is impressive.,FoodG
The food here is top notch,FoodG
The food was superb and the service was impeccable.,FoodG
the food is always delicious.,FoodG
Food was outstanding.,FoodG
We had a terrific selection of food.,FoodG
The food is always up to standards and the cocktails are delightful.,FoodG
Simply a great place to enjoy some good comfort food and drink.,FoodG
Great food in a cozy atmosphere,FoodG
Food and service are beyond excellent!,FoodG
Service and food are always great too.,FoodG
"The food was fresh, well-prepared and delicious.",FoodG
When such fabulous foods are available you should go with the best.,FoodG
The food was top-notch.,FoodG
"The food is beautifully presented, consistent, fresh.",FoodG
The food was quite good,FoodG
Food of high quality and never had a bad meal here.,FoodG
"the food was amazing, and the atmosphere perfect!",FoodG
the food are so above the norm and so fantastic,FoodG
Fine food and service,FoodG
The food is good and well presented.,FoodG
Hostel food is very bad.,FoodB
sometimes even get irritated eating that food.,FoodB
food supply and availability are very bad.,FoodB
The food was very poor in quantity,FoodB
horrible food and lack luster service,FoodB
Food just not good,FoodB
"Ridiculously overpriced, worst food, poor service.",FoodB
Both food and service have been patchy over that tim,FoodB
the food and service were very disappointing.,FoodB
I must also declare to you that we don't have strange willing on food.,FoodB
The food was just horrible and way over expensive.,FoodB
The food is all watered down.,FoodB
The food quality is very very bad had order some soup it was so terrible could eat more than a spoonful.,FoodB
"Bad food quality, wastage of money",FoodB
Some food were undercooked or overcooked.,FoodB
it was the worst food quality and the service,FoodB
it was Terrible food and cost also high,FoodB
Worst and pathetic food and staff,FoodB
Food is also not that great.,FoodB
the food was not even half worth of the price.,FoodB
food was poor and not worth the price charged.,FoodB
The food tasted terrible,FoodB
the food came out cold and tasteless,FoodB
Food is godawful.,FoodB
Very bad service and awfull food,FoodB
the food is not edsble,FoodB
The food is all watered down.,FoodB
"Terrible service, awful bland food",FoodB
The quality of the food was very poor.,FoodB
Bad Food!!,FoodB
Food was way below par.,FoodB
The parking facility is also available with good amenities.,ParkingG
It has ample parking space,ParkingG
It is easy to parking,ParkingG
Parking is ample,ParkingG
To eliminate the hassle of finding a good parking spot.,ParkingG
There are ample parking space opposite of the mall,ParkingG
Parking won't be of any issue even during weekend.,ParkingG
plenty of parking space.,ParkingG
Parking within the complex is manageable.,ParkingG
There is enough parking and varieties of shops to visit.,ParkingG
Easy to locate the parking you won't can't find your car here.,ParkingG
Parking was convenient too,ParkingG
Parking area quite spacious and and easy access.,ParkingG
Parking is plentiful.,ParkingG
Parking is easily available.,ParkingG
Parking is easy and plenty.,ParkingG
you can find parking place very easy,ParkingG
Ample parking spot at the upper floors.,ParkingG
Good parking.,ParkingG
There is plenty of parking lots,ParkingG
Lots of parking.,ParkingG
shopping mall with huge parking area.,ParkingG
The place has heaps of parking.,ParkingG
Good amount of parking too.,ParkingG
Large complex with ample parking.,ParkingG
Parking is usually easy.,ParkingG
Plenty of parking as well.,ParkingG
Parking wasn't to bad,ParkingG
The car parking is great,ParkingG
There is an abundance of parking as well,ParkingG
I never have trouble parking.,ParkingG
Parking is substantial,ParkingG
Very large and well organized parking,ParkingG
There are ample of parking spaces available and can keep you occupied for a while.,ParkingG
Excellent parking,ParkingG
The mall has spacious parking,ParkingG
Nice huge parking,ParkingG
We find good value for parking in a spacious car park.,ParkingG
Parking was really good too.,ParkingG
The parking space is huge and gives you the possibility to park anywhere!,ParkingG
we visited the mall and were happy to have parking.,ParkingG
Parking was so easy and plentyful.,ParkingG
with plenty of car parking available.,ParkingG
Good parking easy to find your Car with numbered zones,ParkingG
There were good shops here with plenty of parking.,ParkingG
There is plenty of free parking.,ParkingG
Tons of parking space even at Christmas time.,ParkingG
As a result parking was easy too.,ParkingG
It always have a parking slot for me.,ParkingG
It is easy to find a nice parking.,ParkingG
You have to pay for parking every day if you bring your bike.,ParkingB
A bit confusing to get to parking place.,ParkingB
Other shopping malls will have to struggle for parking spaces.,ParkingB
I avoid the place because of difficulty looking for parking.,ParkingB
it�s not easy to find parking here though.,ParkingB
Always full in the weekend and parking a bit problem.,ParkingB
Parking quiet limited.,ParkingB
You may end up spending almost half an hour to find parking.,ParkingB
Parking is the pits.,ParkingB
The lack of parking spaces at the 3 basement floors is a nightmare.,ParkingB
The parking is tight,ParkingB
The mall has unconvenient parking,ParkingB
You can not drive away because your car is blocked by other car in the parking lot.,ParkingB
"Even though there are parking garage, you want to park next to the shop",ParkingB
It is impossible due to the number of shops and the limited parking places.,ParkingB
the cons are the parking are always full.,ParkingB
It is quite difficult to find a parking spot as there are so many people coming to the mall.,ParkingB
Its hard to find parking especially in the basement.,ParkingB
The parking a bit confused,ParkingB
Parking might get a little bit confusing.,ParkingB
The parking entrances can be a bit confusing if you drive!,ParkingB
he parking experience was disappointing.,ParkingB
Sad to say it's very parking unfriendly.,ParkingB
Parking for scooters is very limited.,ParkingB
The only problem was the parking level.,ParkingB
They closed off the roads when there are empty parking spaces available.,ParkingB
Parking is always a challenge around KK malls as it seems to be full all the time.,ParkingB
It is still difficult for us to look for parking.,ParkingB
"Parking a bit of a nightmare, because it gets so busy.",ParkingB
It may still be a challenge to find a empty parking spot,ParkingB
Parking can be hard to find on Weekends .,ParkingB
But in weekend it is quite difficult to get parking area.,ParkingB
Parking was a bit rough.,ParkingB
Parking structure is terrible.,ParkingB
Hard to get in and out or to even find a parking spot.,ParkingB
Parking is horrible.,ParkingB
"You deal with the parking you have no interest in browsing, you just want to get out as soon as you can.",ParkingB
Parking is an absolute nightmare.,ParkingB
"The parking garage is the worst design I've ever encountered anywhere, ever.",ParkingB
Others have said the parking spaces are pretty small,ParkingB
This is the most confusing and frustrating parking garage I've ever been to.,ParkingB
The parking is a disaster.,ParkingB
Sometime it was hard to find parking too especially during weekend or holiday,ParkingB
Getting into the parking is a super hassle,ParkingB
Hard to find parking on events day.,ParkingB
The parking were really crowded,ParkingB
"Parking a bit of a nightmare, because it gets so busy.",ParkingB
It has a stressful maze of tiny parking spaces,ParkingB
Difficulties to find a parking place,ParkingB
Parking seemed to be a bit of as problem the day we were there.,ParkingB
college also provided excellent examination timetable,TimetableG
A good time table always bring life on a right track.,TimetableG
Love my new timetable!,TimetableG
If this online timetable is so free I will be so happy!!!,TimetableG
The timetable make me so happy,TimetableG
This timetable is suitable for me,TimetableG
This timetable make me so free,TimetableG
I love my timetable,TimetableG
It is a good timetable for in this sem,TimetableG
"When I see this timetable, I think I will very cheerful",TimetableG
With this timetable I have enough time to rest,TimetableG
So gladful has this kind of timetable,TimetableG
I like this kind of timetable,TimetableG
This is nice when you only need to go for one hour class in one day,TimetableG
Happy with my timetable!,TimetableG
A long time break with a whole day class!,TimetableG
I hope next sem school still can make the suitable timetable again for us,TimetableG
"The timetable is so free, that make me can do my own things",TimetableG
"When the exam timetable is out, I have enough time to study it",TimetableG
I am so glad when I saw this kind of timetable,TimetableG
I am so happy because weekend I no need go to school,TimetableG
I hope this kind of timetable will appear in next sem,TimetableG
I am so glad for the time table,TimetableG
I like schoold has arrange this kind of timetable for us,TimetableG
In this sem I have a good timetable,TimetableG
If this online timetable is bullshit I will not be happy!!!,TimetableB
The timetable make me so crazy,TimetableB
This timetable is a nightmare for me,TimetableB
This timetable make me so stressful,TimetableB
I hate my timetable,TimetableB
It is a bad timetable for in this sem,TimetableB
"When I see this timetable, I think I will very tired",TimetableB
With this timetable I will not have enough time to rest,TimetableB
This timetable is killing me,TimetableB
I don't like this kind of timetable,TimetableB
This is bads when you only need to go for one hour class in one day,TimetableB
Unhappy with my timetable!,TimetableB
A short time break with a whole day class!,TimetableB
I have no idea why my timetable can so terrible,TimetableB
I hope school can change the timetable again!,TimetableB
"The timetable is so full, that make me can't do my own things",TimetableB
How can I survive with this timetable,TimetableB
The time table is so ridiculous,TimetableB
"When the exam timetable is out, I have no time to study it",TimetableB
Please change the timetable as soon as possible!,TimetableB
I am so rage when I saw this kind of timetable,TimetableB
I hope school can rearrange the timetable,TimetableB
There is no enough time to let me rest during my break,TimetableB
Why weekend I still need go to school,TimetableB
The timetable has spoil my plan,TimetableB
